ovaryscore,colony,treatment
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Caravan,3-MeC31
1,Birdcage,C31
1,Birdcage,C31
1,Birdcage,C31
1,Birdcage,C31
2,Birdcage,C31
1,Birdcage,C31
1,Birdcage,C31
2,Birdcage,C31
1,Birdcage,C31
2,Birdcage,C31
3,Birdcage,C31
1,Birdcage,C31
1,Birdcage,C31
1,Birdcage,C31
1,Birdcage,C31
1,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
2,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
1,Birdcage,Pentane
2,Birdcage,3-MeC31
1,Birdcage,3-MeC31
1,Birdcage,3-MeC31
1,Birdcage,3-MeC31
1,Birdcage,3-MeC31
1,Birdcage,3-MeC31
1,Birdcage,3-MeC31
2,Birdcage,3-MeC31
1,Birdcage,3-MeC31
1,Birdcage,3-MeC31
1,Birdcage,3-MeC31
2,Birdcage,3-MeC31
1,Birdcage,3-MeC31
1,Birdcage,3-MeC31
1,Birdcage,3-MeC31
3,Birdcage,3-MeC31
2,Birdcage,3-MeC31
1,Birdcage,3-MeC31
1,Birdcage,3-MeC31
1,Birdcage,3-MeC31
2,Birdcage,3-MeC31
1,Birdcage,3-MeC31
1,Slab,C31
1,Slab,C31
1,Slab,C31
2,Slab,C31
1,Slab,C31
1,Slab,C31
3,Slab,C31
1,Slab,C31
1,Slab,C31
4,Slab,C31
3,Slab,C31
1,Slab,C31
2,Slab,C31
1,Slab,C31
1,Slab,C31
1,Slab,C31
1,Slab,C31
1,Slab,C31
1,Slab,C31
1,Slab,C31
2,Slab,C31
1,Slab,C31
3,Slab,C31
1,Slab,C31
4,Slab,C31
1,Slab,C31
1,Slab,C31
1,Slab,Pentane
2,Slab,Pentane
2,Slab,Pentane
1,Slab,Pentane
1,Slab,Pentane
4,Slab,Pentane
4,Slab,Pentane
1,Slab,Pentane
1,Slab,Pentane
3,Slab,Pentane
1,Slab,Pentane
1,Slab,Pentane
1,Slab,Pentane
1,Slab,Pentane
1,Slab,Pentane
2,Slab,Pentane
1,Slab,Pentane
1,Slab,Pentane
4,Slab,Pentane
1,Slab,Pentane
1,Slab,Pentane
3,Slab,Pentane
1,Slab,Pentane
1,Slab,Pentane
1,Slab,Pentane
1.5,Slab,Pentane
1,Slab,Pentane
1,Slab,Pentane
1,Slab,Pentane
2,Slab,Pentane
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
3,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
2,Slab,3-MeC31
1,Slab,3-MeC31
3,Slab,3-MeC31
1,Slab,3-MeC31
3,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
2,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
2,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1.5,Slab,3-MeC31
1,Slab,3-MeC31
1,Slab,3-MeC31
1,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
2,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
4,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
2,Nitrogen,C31
3,Nitrogen,C31
4,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
2,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
4,Nitrogen,C31
3,Nitrogen,C31
2,Nitrogen,C31
3,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
3,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
3,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
3,Nitrogen,C31
1,Nitrogen,C31
1,Nitrogen,C31
2,Nitrogen,C31
1,Nitrogen,C31
2,Nitrogen,Pentane
2,Nitrogen,Pentane
1,Nitrogen,Pentane
2,Nitrogen,Pentane
2,Nitrogen,Pentane
1,Nitrogen,Pentane
2,Nitrogen,Pentane
4,Nitrogen,Pentane
1,Nitrogen,Pentane
2,Nitrogen,Pentane
1,Nitrogen,Pentane
1,Nitrogen,Pentane
1,Nitrogen,Pentane
1,Nitrogen,Pentane
3,Nitrogen,Pentane
3,Nitrogen,Pentane
1,Nitrogen,Pentane
1,Nitrogen,Pentane
2,Nitrogen,Pentane
4,Nitrogen,Pentane
1,Nitrogen,Pentane
1,Nitrogen,Pentane
1,Nitrogen,Pentane
4,Nitrogen,Pentane
3,Nitrogen,Pentane
1,Nitrogen,Pentane
4,Nitrogen,Pentane
2,Nitrogen,Pentane
2,Nitrogen,Pentane
1,Nitrogen,Pentane
4,Nitrogen,Pentane
1,Nitrogen,Pentane
2,Nitrogen,Pentane
2,Nitrogen,Pentane
3,Nitrogen,Pentane
1,Nitrogen,3-MeC31
1.5,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
2,Nitrogen,3-MeC31
3,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
2,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
3,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
4,Nitrogen,3-MeC31
3,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
2,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
3,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
2,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
1,Nitrogen,3-MeC31
3,Angry,C31
3,Angry,C31
1,Angry,C31
1,Angry,C31
1,Angry,C31
2,Angry,C31
3,Angry,C31
1,Angry,C31
1,Angry,C31
1,Angry,C31
1,Angry,C31
1,Angry,C31
1,Angry,C31
2,Angry,C31
1,Angry,C31
1,Angry,C31
1,Angry,C31
1,Angry,C31
1,Angry,C31
1,Angry,C31
2,Angry,C31
1,Angry,C31
1,Angry,C31
1,Angry,C31
2,Angry,C31
1,Angry,C31
2,Angry,C31
1,Angry,C31
1,Angry,C31
2,Angry,C31
1,Angry,C31
3,Angry,C31
1,Angry,C31
1,Angry,C31
1,Angry,C31
1,Angry,Pentane
1,Angry,Pentane
1,Angry,Pentane
1,Angry,Pentane
1,Angry,Pentane
1.5,Angry,Pentane
1,Angry,Pentane
1,Angry,Pentane
2,Angry,Pentane
1,Angry,Pentane
1,Angry,Pentane
1,Angry,Pentane
2,Angry,Pentane
2.5,Angry,Pentane
1,Angry,Pentane
1,Angry,Pentane
2,Angry,Pentane
1,Angry,Pentane
1,Angry,Pentane
2,Angry,Pentane
1,Angry,Pentane
2,Angry,Pentane
1,Angry,Pentane
1,Angry,Pentane
2,Angry,Pentane
1,Angry,Pentane
3,Angry,Pentane
2,Angry,Pentane
1,Angry,Pentane
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
2,Angry,3-MeC31
1,Angry,3-MeC31
2,Angry,3-MeC31
3,Angry,3-MeC31
2,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
2,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
2,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
1,Angry,3-MeC31
3,Angry,3-MeC31
1,Angry,3-MeC31
